,0
1989,PRTS
1990,TYG
1991,VBTX
1992,FRO
1993,HY
1994,OTTR
1995,WGP
1996,CTO
1997,BIZD
1998,EPHE
1999,TBPH
2000,WPP
2001,ANCX
2002,PAHC
2003,FNDX
2004,AOI
2005,ALDX
2006,AMU
2007,CKH
2008,IFN
2009,RST
2010,RYE
2011,TLI
2012,TREC
2013,MATX
2014,ANGL
2015,HCKT
2016,BOMN
2017,WSBF
2018,PKE
2019,JRS
2020,FFG
2021,MAXR
2022,CSII
2023,OXM
2024,BSJI
2025,FXP
2026,PFLT
2027,CMT
2028,PKD
2029,QYLD
2030,FNHC
2031,AVHI
2032,BPK
2033,JDD
2034,PFXF
2035,HTBK
2036,CLXT
2037,DDM
